"Scenario","Mapping","Size","Query","System","Run","Time_ms","Success"
"Deep100","oneToOne","medium","Q1","Rapid","1","795","True"
"Deep100","oneToOne","medium","Q1","Rapid","2","768","True"
"Deep100","oneToOne","medium","Q1","Rapid","3","754","True"
"Deep100","oneToOne","medium","Q1","ChaseGQR","1","510","True"
"Deep100","oneToOne","medium","Q1","ChaseGQR","2","505","True"
"Deep100","oneToOne","medium","Q1","ChaseGQR","3","545","True"
"Deep100","oneToOne","medium","Q2","Rapid","1","774","True"
"Deep100","oneToOne","medium","Q2","Rapid","2","732","True"
"Deep100","oneToOne","medium","Q2","Rapid","3","779","True"
"Deep100","oneToOne","medium","Q2","ChaseGQR","1","520","True"
"Deep100","oneToOne","medium","Q2","ChaseGQR","2","527","True"
"Deep100","oneToOne","medium","Q2","ChaseGQR","3","533","True"
"Deep100","oneToOne","medium","Q3","Rapid","1","784","True"
"Deep100","oneToOne","medium","Q3","Rapid","2","797","True"
"Deep100","oneToOne","medium","Q3","Rapid","3","787","True"
"Deep100","oneToOne","medium","Q3","ChaseGQR","1","510","True"
"Deep100","oneToOne","medium","Q3","ChaseGQR","2","573","True"
"Deep100","oneToOne","medium","Q3","ChaseGQR","3","569","True"
"Deep100","oneToOne","medium","Q4","Rapid","1","767","True"
"Deep100","oneToOne","medium","Q4","Rapid","2","776","True"
"Deep100","oneToOne","medium","Q4","Rapid","3","808","True"
"Deep100","oneToOne","medium","Q4","ChaseGQR","1","598","True"
"Deep100","oneToOne","medium","Q4","ChaseGQR","2","555","True"
"Deep100","oneToOne","medium","Q4","ChaseGQR","3","521","True"
"Deep100","oneToOne","medium","Q5","Rapid","1","781","True"
"Deep100","oneToOne","medium","Q5","Rapid","2","742","True"
"Deep100","oneToOne","medium","Q5","Rapid","3","773","True"
"Deep100","oneToOne","medium","Q5","ChaseGQR","1","518","True"
"Deep100","oneToOne","medium","Q5","ChaseGQR","2","543","True"
"Deep100","oneToOne","medium","Q5","ChaseGQR","3","557","True"
"StockExchange","GAV","small","Q1","Rapid","1","722","True"
"StockExchange","GAV","small","Q1","Rapid","2","864","True"
"StockExchange","GAV","small","Q1","Rapid","3","811","True"
"StockExchange","GAV","small","Q1","ChaseGQR","1","443","True"
"StockExchange","GAV","small","Q1","ChaseGQR","2","399","True"
"StockExchange","GAV","small","Q1","ChaseGQR","3","508","True"
"StockExchange","GAV","small","Q2","Rapid","1","737","True"
"StockExchange","GAV","small","Q2","Rapid","2","750","True"
"StockExchange","GAV","small","Q2","Rapid","3","757","True"
"StockExchange","GAV","small","Q2","ChaseGQR","1","546","True"
"StockExchange","GAV","small","Q2","ChaseGQR","2","598","True"
"StockExchange","GAV","small","Q2","ChaseGQR","3","653","True"
"StockExchange","GAV","small","Q3","Rapid","1","748","True"
"StockExchange","GAV","small","Q3","Rapid","2","771","True"
"StockExchange","GAV","small","Q3","Rapid","3","717","True"
"StockExchange","GAV","small","Q3","ChaseGQR","1","785","True"
"StockExchange","GAV","small","Q3","ChaseGQR","2","786","True"
"StockExchange","GAV","small","Q3","ChaseGQR","3","801","True"
"StockExchange","GAV","small","Q4","Rapid","1","743","True"
"StockExchange","GAV","small","Q4","Rapid","2","704","True"
"StockExchange","GAV","small","Q4","Rapid","3","753","True"
"StockExchange","GAV","small","Q4","ChaseGQR","1","1111","True"
"StockExchange","GAV","small","Q4","ChaseGQR","2","1136","True"
"StockExchange","GAV","small","Q4","ChaseGQR","3","1109","True"
"StockExchange","GAV","small","Q5","Rapid","1","658","True"
"StockExchange","GAV","small","Q5","Rapid","2","775","True"
"StockExchange","GAV","small","Q5","Rapid","3","725","True"
"StockExchange","GAV","small","Q5","ChaseGQR","1","4746","True"
"StockExchange","GAV","small","Q5","ChaseGQR","2","4690","True"
"StockExchange","GAV","small","Q5","ChaseGQR","3","4913","True"
"University","LAV","large","Q1","Rapid","1","760","True"
"University","LAV","large","Q1","Rapid","2","731","True"
"University","LAV","large","Q1","Rapid","3","683","True"
"University","LAV","large","Q1","ChaseGQR","1","449","True"
"University","LAV","large","Q1","ChaseGQR","2","437","True"
"University","LAV","large","Q1","ChaseGQR","3","475","True"
"University","LAV","large","Q2","Rapid","1","833","True"
"University","LAV","large","Q2","Rapid","2","892","True"
"University","LAV","large","Q2","Rapid","3","863","True"
"University","LAV","large","Q2","ChaseGQR","1","576","True"
"University","LAV","large","Q2","ChaseGQR","2","615","True"
"University","LAV","large","Q2","ChaseGQR","3","585","True"
"University","LAV","large","Q3","Rapid","1","792","True"
"University","LAV","large","Q3","Rapid","2","965","True"
"University","LAV","large","Q3","Rapid","3","798","True"
"University","LAV","large","Q3","ChaseGQR","1","482","True"
"University","LAV","large","Q3","ChaseGQR","2","524","True"
"University","LAV","large","Q3","ChaseGQR","3","445","True"
"University","LAV","large","Q4","Rapid","1","700","True"
"University","LAV","large","Q4","Rapid","2","697","True"
"University","LAV","large","Q4","Rapid","3","774","True"
"University","LAV","large","Q4","ChaseGQR","1","1394","True"
"University","LAV","large","Q4","ChaseGQR","2","1395","True"
"University","LAV","large","Q4","ChaseGQR","3","1350","True"
"University","LAV","large","Q5","Rapid","1","819","True"
"University","LAV","large","Q5","Rapid","2","759","True"
"University","LAV","large","Q5","Rapid","3","738","True"
"University","LAV","large","Q5","ChaseGQR","1","2035","True"
"University","LAV","large","Q5","ChaseGQR","2","2002","True"
"University","LAV","large","Q5","ChaseGQR","3","1962","True"
