Scenario,Query,ChaseGQR,Rapid,SpeedRatio,Winner
Deep100,Q1,520.0,772.3333333333334,0.6732844195079845,Rapid
Deep100,Q2,526.6666666666666,761.6666666666666,0.6914660831509847,Rapid
Deep100,Q3,550.6666666666666,789.3333333333334,0.6976351351351351,Rapid
Deep100,Q4,558.0,783.6666666666666,0.7120374308804764,Rapid
Deep100,Q5,539.3333333333334,765.3333333333334,0.7047038327526133,Rapid
StockExchange,Q1,450.0,799.0,0.5632040050062578,Rapid
StockExchange,Q2,599.0,748.0,0.8008021390374331,Rapid
StockExchange,Q3,790.6666666666666,745.3333333333334,1.0608228980322003,Tie
StockExchange,Q4,1118.6666666666667,733.3333333333334,1.5254545454545454,Chase
StockExchange,Q5,4783.0,719.3333333333334,6.649212233549583,Chase
University,Q1,453.6666666666667,724.6666666666666,0.626034958601656,Rapid
University,Q2,592.0,862.6666666666666,0.6862442040185471,Rapid
University,Q3,483.6666666666667,851.6666666666666,0.5679060665362036,Rapid
University,Q4,1379.6666666666667,723.6666666666666,1.9064947029018888,Chase
University,Q5,1999.6666666666667,772.0,2.5902417962003454,Chase
